id,name,latitude,longitude
S101,Shaheed Sthal (New Bus Adda),28.6705,77.4221
S102,Hindon River,28.6631,77.3952
S103,Arthala,28.6652,77.3820
S104,Mohan Nagar,28.6698,77.3501
S105,Shyam Park,28.6722,77.3385
S106,Major Mohit Sharma,28.6750,77.3210
S107,Raj Bagh,28.6781,77.3055
S108,Shaheed Nagar,28.6795,77.2912
S109,Dilshad Garden,28.6758,77.2821
S110,Jhilmil,28.6755,77.2710
S111,Mansarovar Park,28.6752,77.2589
S112,Shahdara,28.6734,77.2378
S113,Welcome,28.6719,77.2215
S114,Seelampur,28.6688,77.2105
S115,Shastri Park,28.6672,77.1921
S116,Kashmere Gate,28.6675,77.2285
S117,Tis Hazari,28.6671,77.2155
S118,Pul Bangash,28.6702,77.2052
S119,Pratap Nagar,28.6718,77.1950
S120,Shastri Nagar,28.6755,77.1721
S121,Inderlok,28.6732,77.1652
S122,Kanhaiya Nagar,28.6835,77.1550
S123,Keshav Puram,28.6892,77.1452
S124,Netaji Subhash Place,28.6912,77.1325
S125,Kohat Enclave,28.6985,77.1251
S126,Pitam Pura,28.7032,77.1189
S127,Rohini East,28.7088,77.1132
S128,Rohini West,28.7121,77.1055
S129,Rithala,28.7205,77.1002
S130,Red Line Terminal,28.7350,77.0910
S201,Samaypur Badli,28.7452,77.1352
S202,Rohini Sector-18,19,28.7401,77.1455
S203,Haiderpur Badli Mor,28.7302,77.1521
S204,Jahangirpuri,28.7255,77.1601
S205,Adarsh Nagar,28.7152,77.1712
S206,Azadpur,28.7065,77.1821
S207,Model Town,28.6998,77.1912
S208,GTB Nagar,28.6925,77.2055
S209,Vishwavidyalaya,28.6872,77.2121
S210,Vidhan Sabha,28.6792,77.2212
S211,Civil Lines,28.6745,77.2251
S212,Chandni Chowk,28.6575,77.2301
S213,Chawri Bazar,28.6492,77.2265
S214,New Delhi,28.6431,77.2221
S215,Rajiv Chowk,28.6328,77.2195
S216,Patel Chowk,28.6231,77.2142
S217,Central Secretariat,28.6145,77.2112
S218,Udyog Bhawan,28.6112,77.2125
S219,Lok Kalyan Marg,28.6032,77.2105
S220,Jor Bagh,28.5885,77.2121
S221,AIIMS,28.5685,77.2072
S222,Green Park,28.5582,77.2052
S223,Hauz Khas,28.5432,77.2055
S224,Malviya Nagar,28.5302,77.2125
S225,Saket,28.5205,77.2052
S226,Qutub Minar,28.5121,77.1852
S227,Chhattarpur,28.5055,77.1652
S228,Sultanpur,28.4985,77.1521
S229,Ghitorni,28.4902,77.1352
S230,Arjan Garh,28.4805,77.1212
S231,Guru Dronacharya,28.4721,77.1021
S232,Sikandarpur,28.4625,77.0921
S233,MG Road,28.4802,77.0805
S234,IFFCO Chowk,28.4722,77.0721
S235,Millennium City Centre Gurugram,28.4592,77.0725
S236,Yellow Line Terminal,28.4452,77.0610
S301,Dwarka Sector 21,28.5521,77.0585
S302,Dwarka Sector 8,28.5652,77.0652
S303,Dwarka Sector 9,28.5752,77.0655
S304,Dwarka Sector 10,28.5812,77.0658
S305,Dwarka Sector 11,28.5855,77.0651
S306,Dwarka Sector 12,28.5912,77.0585
S307,Dwarka Sector 13,28.6012,77.0505
S308,Dwarka Sector 14,28.6025,77.0255
S309,Dwarka,28.6142,77.0185
S310,Dwarka Mor,28.6192,77.0321
S311,Nawada,28.6212,77.0501
S312,Uttam Nagar West,28.6232,77.0651
S313,Uttam Nagar East,28.6235,77.0751
S314,Janakpuri West,28.6295,77.0782
S315,Janakpuri East,28.6298,77.0882
S316,Tilak Nagar,28.6302,77.0952
S317,Subhash Nagar,28.6315,77.1052
S318,Rajouri Garden,28.6385,77.1132
S319,Ramesh Nagar,28.6395,77.1252
S320,Moti Nagar,28.6575,77.1425
S321,Kirti Nagar,28.6552,77.1512
S322,Shadipur,28.6521,77.1582
S323,Patel Nagar,28.6452,77.1652
S324,Rajendra Place,28.6425,77.1785
S325,Karol Bagh,28.6438,77.1892
S326,Jhandewalan,28.6441,77.2021
S327,RK Ashram Marg,28.6392,77.2095
S328,Barakhamba Road,28.6305,77.2282
S329,Mandi House,28.6255,77.2345
S330,Supreme Court,28.6212,77.2431
S331,Indraprastha,28.6205,77.2521
S332,Yamuna Bank,28.6212,77.2652
S333,Akshardham,28.6182,77.2792
S334,Mayur Vihar Phase-1,28.6052,77.2895
S335,Mayur Vihar Extension,28.5955,77.2952
S336,New Ashok Nagar,28.5892,77.3021
S337,Noida Sector 15,28.5832,77.3115
S338,Noida Sector 16,28.5792,77.3205
S339,Noida Sector 18,28.5702,77.3255
S340,Botanical Garden,28.5645,77.3345
S341,Golf Course,28.5672,77.3452
S342,Noida City Centre,28.5745,77.3551
S343,Noida Sector 34,28.5852,77.3621
S344,Noida Sector 52,28.5912,77.3712
S345,Noida Sector 61,28.5955,77.3821
S346,Noida Sector 59,28.6032,77.3912
S347,Noida Sector 62,28.6185,77.4052
S348,Noida Electronic City,28.6272,77.4192
S349,Laxmi Nagar,28.6302,77.2755
S350,Nirman Vihar,28.6355,77.2852
S351,Preet Vihar,28.6412,77.2952
S352,Kaushambi,28.6452,77.3252
S353,Vaishali,28.6492,77.3395
S401,Brigadier Hoshiyar Singh,28.6925,76.9212
S402,Bahadurgarh City,28.6932,76.9351
S403,Pandit Shree Ram Sharma,28.6941,76.9482
S404,Tikri Border,28.6955,76.9652
S405,Tikri Kalan,28.6962,76.9782
S406,Ghevra,28.6975,76.9921
S407,Mundka Industrial Area,28.6985,77.0125
S408,Mundka,28.6992,77.0255
S409,Rajdhani Park,28.6912,77.0385
S410,Nangloi Railway Station,28.6825,77.0505
S411,Nangloi,28.6792,77.0652
S412,Maharaja Surajmal Stadium,28.6755,77.0782
S413,Udyog Nagar,28.6725,77.0912
S414,Peeragarhi,28.6712,77.1055
S415,Paschim Vihar West,28.6718,77.1182
S416,Paschim Vihar East,28.6722,77.1255
S417,Madipur,28.6732,77.1352
S418,Shivaji Park,28.6715,77.1455
S419,Punjabi Bagh West,28.6655,77.1552
S420,Ashok Park Main,28.6632,77.1652
S421,Satguru Ram Singh Marg,28.6582,77.1612
S422,Inderlok Extension,28.6712,77.1632
S501,Lal Qila,28.6572,77.2385
S502,Jama Masjid,28.6495,77.2345
S503,Delhi Gate,28.6385,77.2402
S504,ITO,28.6292,77.2421
S505,Janpath,28.6212,77.2185
S506,Khan Market,28.6012,77.2285
S507,Jawaharlal Nehru Stadium,28.5895,77.2355
S508,Jangpura,28.5812,77.2412
S509,Lajpat Nagar,28.5702,77.2372
S510,Moolchand,28.5632,77.2345
S511,Kailash Colony,28.5532,77.2412
S512,Nehru Place,28.5492,77.2512
S513,Kalkaji Mandir,28.5495,77.2585
S514,Govind Puri,28.5442,77.2642
S515,Harkesh Nagar Okhla,28.5402,77.2755
S516,Jasola Apollo,28.5355,77.2852
S517,Sarita Vihar,28.5285,77.2921
S518,Mohan Estate,28.5195,77.2995
S519,Tughlakabad,28.5092,77.3052
S520,Badarpur Border,28.4985,77.3052
S521,Sarai,28.4855,77.3082
S522,NHPC Chowk,28.4725,77.3112
S523,Mewala Maharajpur,28.4621,77.3132
S524,Sector 28 Faridabad,28.4512,77.3152
S525,Badkal Mor,28.4385,77.3182
S526,Old Faridabad,28.4215,77.3205
S527,Neelam Chowk Ajronda,28.4112,77.3225
S528,Bata Chowk,28.4012,77.3255
S529,Escorts Mujesar,28.3882,77.3285
S530,Sant Surdas Sihi,28.3752,77.3312
S531,Raja Nahar Singh Ballabhgarh,28.3412,77.3325
S601,Majlis Park,28.7152,77.1755
S602,Shalimar Bagh,28.6985,77.1652
S603,Shakurpur,28.6852,77.1512
S604,ESI Hospital,28.6525,77.1352
S605,Maya Puri,28.6305,77.1252
S606,Naraina Vihar,28.6212,77.1412
S607,Delhi Cantt,28.5985,77.1282
S608,Durgabai Deshmukh South Campus,28.5885,77.1652
S609,Sir Vishweshwaraiah Moti Bagh,28.5821,77.1725
S610,Bhikaji Cama Place,28.5702,77.1852
S611,Sarojini Nagar,28.5752,77.1985
S612,Vinobapuri,28.5685,77.2452
S613,Ashram,28.5732,77.2585
S614,Sarai Kale Khan Nizamuddin,28.5885,77.2612
S615,Mayur Vihar Pocket-1,28.6012,77.2995
S616,Trilokpuri Sanjay Lake,28.6125,77.3052
S617,East Vinod Nagar Mayur Vihar-II,28.6195,77.3112
S618,Mandawali West Vinod Nagar,28.6242,77.3021
S619,IP Extension,28.6355,77.3052
S620,Anand Vihar,28.6485,77.3125
S621,Karkarduma,28.6485,77.3005
S622,Karkarduma Court,28.6521,77.2912
S623,Krishna Nagar,28.6595,77.2812
S624,East Azad Nagar,28.6672,77.2755
S625,Jaffrabad,28.6755,77.2652
S626,Maujpur Babarpur,28.6812,77.2612
S627,Gokulpuri,28.6985,77.2652
S628,Johri Enclave,28.7052,77.2712
S629,Shiv Vihar Extension,28.7185,77.2755
S630,Pink Line Terminal,28.7252,77.2812
S701,Dabri Mor Janakpuri South,28.6152,77.0852
S702,Dashrath Puri,28.6052,77.0895
S703,Palam,28.5912,77.0912
S704,Sadar Bazaar Cantonment,28.5855,77.1152
S705,Terminal 1 IGI Airport,28.5652,77.1212
S706,Shankar Vihar,28.5552,77.1452
S707,Vasant Vihar,28.5612,77.1612
S708,Munirka,28.5582,77.1725
S709,RK Puram,28.5521,77.1852
S710,IIT Delhi,28.5455,77.1952
S711,Panchsheel Park,28.5421,77.2185
S712,Chirag Delhi,28.5425,77.2285
S713,Greater Kailash,28.5435,77.2385
S714,Nehru Enclave,28.5452,77.2485
S715,Okhla NSIC,28.5512,77.2652
S716,Sukhdev Vihar,28.5595,77.2752
S717,Jamia Millia Islamia,28.5621,77.2852
S718,Okhla Vihar,28.5655,77.2952
S719,Jasola Vihar Shaheen Bagh,28.5682,77.3052
S720,Kalindi Kunj,28.5695,77.3152
S721,Okhla Bird Sanctuary,28.5652,77.3255
S801,Shivaji Stadium,28.6312,77.2085
S802,Dhaula Kuan,28.5912,77.1585
S803,Delhi Aerocity,28.5521,77.1215
S804,IGI Airport T3,28.5555,77.0852
S805,Yashobhoomi Dwarka Sector-25,28.5452,77.0452
S901,Nangli,28.6185,76.9952
S902,Najafgarh,28.6125,76.9812
S903,Dhansa Bus Stand,28.6021,76.9712
